epoch,split,bin,mae_s,rmse_s,acc_at_tau_pct,tau_s,n
53,val,1,156.41573962621328,198.2519314519915,24.839006439742413,60.0,34784
53,val,2,179.66570702917005,232.25499155834729,37.93654273812134,120.0,31927
54,val,0,107.82732430444179,147.92935910756128,23.975514881042127,30.0,33163
54,val,1,181.42966552425548,223.91387184845567,20.592801287948483,60.0,34784
54,val,2,217.47489340918344,262.1568042368417,25.4204904939393,120.0,31927
55,val,0,91.12346702980355,125.69458333675051,26.218978982601094,30.0,33163
55,val,1,151.68355645931632,192.80901624624764,25.563477460901563,60.0,34784
55,val,2,187.57046978018212,239.2962513206313,35.474676606007456,120.0,31927
56,val,0,119.22949081083634,162.75384784158268,21.122938214274946,30.0,33163
56,val,1,160.3836987731428,205.6082687163026,24.131784728610857,60.0,34784
56,val,2,170.93500923722843,221.84784340562692,39.67175118238482,120.0,31927
57,val,0,100.89758192194144,136.15872317296746,22.549226547658535,30.0,33163
57,val,1,157.14934499787978,199.22415548161973,24.422148114075437,60.0,34784
57,val,2,174.59781990382234,226.03641955516665,39.30529019325336,120.0,31927
58,val,0,96.16925215757796,138.21439024420684,26.26722552241956,30.0,33163
58,val,1,145.9297682719156,188.9848193153915,26.239075436982525,60.0,34784
58,val,2,159.24326968446206,211.73156607932629,45.23130892348169,120.0,31927
59,val,0,121.04697876510296,162.57787303668908,21.122938214274946,30.0,33163
59,val,1,182.8445160838586,226.21420264594403,19.925827966881325,60.0,34784
59,val,2,199.9161436330829,244.60548123223256,29.551790020985376,120.0,31927
60,val,0,103.71236748912922,143.5922173714679,24.240870850043724,30.0,33163
60,val,1,160.28742079747963,204.84597705012712,24.910878564857406,60.0,34784
60,val,2,191.07076526933022,238.99246248919295,33.47636796441883,120.0,31927
61,val,0,105.89918682465445,146.21967618368316,24.789675240478847,30.0,33163
61,val,1,175.10639714975366,216.96205262158492,20.61005059797608,60.0,34784
61,val,2,199.49572920224995,244.23563753383186,29.75224731418549,120.0,31927
62,val,0,118.42070918305627,164.39611897887283,21.74712782317643,30.0,33163
62,val,1,182.04168939107913,227.08064261668684,21.458141674333024,60.0,34784
62,val,2,183.59312537561271,234.32781992945942,37.43539950512106,120.0,31927
63,val,0,114.03758924166947,165.55331424733177,22.690950758375298,30.0,33163
63,val,1,179.8580505104381,228.7508820381545,20.98953541858326,60.0,34784
63,val,2,191.05477009350676,235.20041115287611,32.091959783255554,120.0,31927
64,val,0,94.51753528278526,132.49454640282934,25.012815487139285,30.0,33163
64,val,1,164.22052557137218,206.911437541428,21.8491260349586,60.0,34784
64,val,2,179.0458069124854,228.60109972611184,38.34998590534657,120.0,31927
65,val,0,94.58660923456559,137.9946077193704,27.518620148961194,30.0,33163
65,val,1,143.08175492133148,185.18483305195193,27.742640294388227,60.0,34784
65,val,2,153.26001736275944,207.1477841805433,46.70968146083253,120.0,31927
66,val,0,99.20500383301444,141.8550521188264,27.027108524560507,30.0,33163
66,val,1,159.92263040832125,204.5629172663393,24.39627414903404,60.0,34784
66,val,2,173.79370968280668,222.25639026166357,38.6600682807655,120.0,31927
67,val,0,120.67679102175005,169.08610450073073,21.976298887314176,30.0,33163
67,val,1,172.31581809176365,219.31147297175906,22.320607175712972,60.0,34784
67,val,2,177.6025750714643,223.83605494175362,36.574059573401826,120.0,31927
68,val,0,110.03769246935826,154.40806603740825,23.390525585743145,30.0,33163
68,val,1,158.9425614329797,202.69537600799487,23.484935602575895,60.0,34784
68,val,2,180.5472806418622,228.89762260007225,35.97268769380149,120.0,31927
69,val,0,114.74938458349314,164.13990123726924,25.914422699996987,30.0,33163
69,val,1,197.83591809312247,247.98900402024336,20.365685372585098,60.0,34784
69,val,2,218.42806213380817,259.6145005498772,24.794061452688947,120.0,31927
70,val,0,113.3964409916902,151.41134810495262,21.67174260471007,30.0,33163
70,val,1,163.58031293067125,202.06447622256883,22.228610855565776,60.0,34784
70,val,2,166.170426245199,215.37030610409207,40.55501613054781,120.0,31927
71,val,0,106.59017437381387,148.19119501279783,24.0237614208606,30.0,33163
71,val,1,169.88134400649363,214.48278656988927,21.627759889604416,60.0,34784
71,val,2,175.9208834344021,224.49734413094225,37.999185642246374,120.0,31927
72,val,0,96.06372987413437,142.95857545083288,28.468473901637363,30.0,33163
